Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,Yes,8,6,0,5
49,No,Travel_Frequently,Research & Development,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,No,10,10,1,7
37,Yes,Travel_Rarely,Research & Development,2,Other,4,Male,2,1,Laboratory Technician,3,Single,Yes,7,0,0,0
33,No,Travel_Frequently,Research & Development,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,Yes,8,8,3,0
27,No,Travel_Rarely,Research & Development,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,No,6,2,2,2
32,No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,No,8,7,3,6
59,No,Travel_Rarely,Research & Development,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,Yes,12,1,0,0
30,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,No,1,1,0,0
38,No,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,No,10,9,1,8
36,No,Travel_Rarely,Research & Development,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,No,17,7,7,7
35,No,Travel_Rarely,Research & Development,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,No,6,5,0,3
29,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,Yes,10,9,0,8
31,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,No,5,5,4,3
34,No,Travel_Rarely,Research & Development,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,No,3,2,1,2
28,Yes,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,Yes,6,4,0,3
29,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,No,10,10,8,8
32,No,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,Yes,7,6,0,5
22,No,Non-Travel,Research & Development,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,Yes,1,1,0,0
53,No,Travel_Rarely,Sales,4,Life Sciences,1,Female,2,4,Manager,4,Married,No,31,25,3,7
38,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,Yes,6,3,1,2
24,No,Non-Travel,Research & Development,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,No,5,4,1,3
36,Yes,Travel_Rarely,Sales,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,No,10,5,0,3
34,No,Travel_Rarely,Research & Development,4,Life Sciences,1,Female,3,3,Research Director,2,Single,No,13,12,2,11
21,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,No,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,1,Medical,2,Male,3,1,Research Scientist,1,Single,No,8,4,1,3
53,No,Travel_Rarely,Research & Development,3,Other,3,Female,3,5,Manager,3,Divorced,No,26,14,4,8
32,Yes,Travel_Frequently,Research & Development,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,Yes,10,10,6,7
42,No,Travel_Rarely,Sales,4,Marketing,3,Male,3,2,Sales Executive,2,Married,No,10,9,4,2
44,No,Travel_Rarely,Research & Development,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,No,24,22,5,17
46,No,Travel_Rarely,Sales,4,Marketing,2,Female,3,5,Manager,1,Single,No,22,2,2,1
33,No,Travel_Rarely,Research & Development,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,No,7,1,0,0
44,No,Travel_Rarely,Research & Development,4,Other,4,Male,3,2,Healthcare Representative,4,Married,Yes,9,4,1,3
30,No,Travel_Rarely,Research & Development,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,No,10,10,1,8
39,Yes,Travel_Rarely,Sales,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,No,19,1,0,0
24,Yes,Travel_Rarely,Research & Development,3,Medical,2,Male,3,1,Research Scientist,4,Married,Yes,6,2,2,0
43,No,Travel_Rarely,Research & Development,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,No,6,5,1,4
50,Yes,Travel_Rarely,Sales,2,Marketing,1,Male,2,1,Sales Representative,3,Married,Yes,3,3,0,2
35,No,Travel_Rarely,Sales,3,Marketing,4,Female,3,1,Sales Representative,4,Married,No,2,2,2,2
36,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,Yes,6,1,0,0
33,No,Travel_Frequently,Sales,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,No,10,5,1,3
